Título,"Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C)","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), A. Disponibilidades","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), A. Disponibilidades, a.1 Banco de México","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), A. Disponibilidades, a.1 Banco de México, a.1.1 Depósitos de regulación monetaria","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), A. Disponibilidades, a.1 Banco de México, a.1.2 Otros depósitos 2/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), A. Disponibilidades, a.2 Resto 3/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), B. Bonos de regulación monetaria de negociabilidad limitada (BREMS L)","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), C. Financiamiento 4/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), C. Financiamiento 4/, c.1 A sectores no bancarios internos 5/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), C. Financiamiento 4/, c.1 A sectores no bancarios internos 5/, c.1.1 Financiamiento directo","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), C. Financiamiento 4/, c.1 A sectores no bancarios internos 5/, c.1.1 Financiamiento directo, c.1.1.1 Sector privado no bancario residente","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), C. Financiamiento 4/, c.1 A sectores no bancarios internos 5/, c.1.1 Financiamiento directo, c.1.1.2 Estados y municipios","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), C. Financiamiento 4/, c.1 A sectores no bancarios internos 5/, c.1.1 Financiamiento directo, c.1.1.3 Sector público federal","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), C. Financiamiento 4/, c.1 A sectores no bancarios internos 5/, c.1.1 Financiamiento directo, c.1.1.4 Otros 6/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), C. Financiamiento 4/, c.1 A sectores no bancarios internos 5/, c.1.2 Títulos asociados a programas de reestructura 7/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), C. Financiamiento 4/, c.2 A la banca de desarrollo","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Activos Totales, m.n.+m.e., (A+B+C), C. Financiamiento 4/, c.3 Al sector no residente","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.1 Sector privado no bancario residente 8/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.1 Sector privado no bancario residente 8/, d.1.1 De exigibilidad inmediata","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.1 Sector privado no bancario residente 8/, d.1.2 A plazo","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.2 Banca de desarrollo","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.2 Banca de desarrollo, d.2.1 De exigibilidad inmediata","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.2 Banca de desarrollo, d.2.2 A plazo","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.3 Otros intermediarios financieros públicos 9/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.3 Otros intermediarios financieros públicos 9/, d.3.1 De exigibilidad inmediata","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.3 Otros intermediarios financieros públicos 9/, d.3.2 A plazo","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.4 Sector público no financiero 10/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.4 Sector público no financiero 10/, d.4.1 De exigibilidad inmediata","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.4 Sector público no financiero 10/, d.4.2 A plazo","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.5 Sector no residente","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.5 Sector no residente, d.5.1 De exigibilidad inmediata","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), D. Captación, d.5 Sector no residente, d.5.2 A plazo","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), E. Acreedores por reporto de valores, e.1 Banco de México","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), E. Acreedores por reporto de valores, e.2 Banca de desarrollo","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), E. Acreedores por reporto de valores, e.3 Sector privado no bancario residente 8/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), E. Acreedores por reporto de valores, e.4 Otros intermediarios financieros públicos 9/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), E. Acreedores por reporto de valores, e.5 Sector público no financiero 10/","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), E. Acreedores por reporto de valores, e.6 Sector no residente","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), F. Financiamiento interno recibido, f.1 Banco de México","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), F. Financiamiento interno recibido, f.2 Banca de desarrollo","Principales Activos y Pasivos de la Banca Comercial 1/, Saldos nominales en miles de pesos, Pasivos más Capital, Totales, m.n.+m.e., (D+E+F+G+H), F. Financiamiento interno recibido, f.3 Otros intermediarios financieros públicos 9/"
Periodo disponible,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022
Periodicidad,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual
Cifra,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales
Unidad,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos
Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF320753,SF320754,SF320755,SF320756,SF320757,SF320758,SF320759,SF320760,SF320761,SF320762,SF320763,SF320764,SF320765,SF320766,SF320767,SF320768,SF320769,SF320772,SF320773,SF320774,SF320775,SF320776,SF320777,SF320778,SF320779,SF320780,SF320781,SF320782,SF320783,SF320784,SF320785,SF320786,SF320788,SF320790,SF320789,SF320791,SF320792,SF320793,SF320795,SF320796,SF320797
01/07/2009,3986846051,557476384,285847144,267780421,18066723,271629240,N/E,3429369667,3322135806,3281811090,1772292102,106858898,1004765055,397895035,40324716,40557835,66676026,1850075004,931075571,918999433,3128513,574323,2554190,4625799,597438,4028361,172292606,151815009,20477597,23662452,9815257,13847195,837314358,289180221,47624685,4904263,120575100,1313813,74871680,38615120,46094277
01/08/2009,3945926780,544824285,275405489,269638209,5767280,269418796,N/E,3401102495,3289767492,3249361114,1753080862,112301471,987129867,396848914,40406378,41763168,69571835,1825594029,931932295,893661734,3679654,535417,3144237,4769154,633836,4135318,172542097,152664218,19877879,24574443,10256132,14318311,764421203,298141203,54360249,5278769,143059204,1994734,72997343,39455786,44127898
01/09/2009,4014779648,551411087,274420476,269778708,4641768,276990611,N/E,3463368561,3359507792,3319013228,1769216591,130080006,1024570748,395145883,40494564,40978549,62882220,1857817667,936174722,921642945,3427711,676511,2751200,4494629,639297,3855332,181736106,158239509,23496597,24652967,9063361,15589606,722842956,315219709,50135447,4452463,133840411,1397163,83502259,44046297,44395972
01/10/2009,3995781492,557047102,273810604,270960499,2850105,283236498,N/E,3438734390,3338583621,3298293234,1761084055,151965551,998076326,387167302,40290387,41651915,58498854,1865132515,962434334,902698181,4482082,778520,3703562,5790046,689654,5100392,183429631,158317864,25111767,27461603,12288370,15173233,729380989,277923961,69745188,4521319,145221348,870817,58236381,46806457,44465677
01/11/2009,4086795270,568923122,275107356,270634690,4472666,293815766,N/E,3517872148,3413846526,3373452169,1787526384,163985532,1038431246,383509007,40394357,44018139,60007483,1894369126,987942992,906426134,4282439,625990,3656449,3183680,742372,2441308,195882562,178645400,17237162,33097926,17088494,16009432,717635796,300357016,60061536,3740048,150574390,833163,58243813,46846819,44940027
01/12/2009,4030039190,527844030,279313663,268214978,11098685,248530367,N/E,3502195160,3379707983,3339209949,1800274952,174229367,1033880367,330825263,40498034,50212329,72274848,2022756233,1062244926,960511307,5955788,1287694,4668094,5615581,703335,4912246,188731030,166215077,22515953,37261215,18073109,19188106,724324344,201572651,33369191,3097990,87061397,832499,43193424,55965455,45827909
01/01/2010,3988206202,478911231,256257978,253529285,2728693,222653253,N/E,3509294971,3391946213,3351328059,1789974421,183879605,1061527708,315946325,40618154,45237218,72111540,1918139502,1014014273,904125229,6004511,818484,5186027,3099919,716699,2383220,172023510,152954867,19068643,28659935,9936358,18723577,745824374,190724995,39337905,4861485,146195900,1128593,9215661,52693828,44734550
01/02/2010,4003365436,467610158,255135980,252910770,2225210,212474178,N/E,3535755278,3419504209,3378772409,1789608459,182780754,1098409405,307973791,40731800,47477426,68773643,1897105032,991598383,905506649,5760019,882983,4877036,3048892,661151,2387741,190681479,166576078,24105401,31030024,12767062,18262962,764384114,175662674,50720663,4938627,110994425,682084,12593925,54321256,43574763
01/03/2010,4010753791,486767304,252290154,250465886,1824268,234477150,N/E,3523986487,3408026391,3367174810,1785101312,189282109,1097908838,294882551,40851581,44998414,70961682,1916553744,994209112,922344632,5946342,980468,4965874,3219499,572705,2646794,213526326,180934601,32591725,30978326,11939941,19038385,678516794,194222744,59631070,5552916,138661638,1433608,14190569,56883514,43299851
01/04/2010,4014051975,466908175,251533702,249933114,1600588,215374473,N/E,3547143800,3433352057,3392385486,1786165606,187579689,1111805656,306834535,40966571,39744325,74047418,1884655478,982452399,902203079,5814652,685912,5128740,3304037,591014,2713023,213168055,176516967,36651088,27296512,8169919,19126593,711926121,212677286,72707275,2521360,101535651,1074682,11263288,57216689,42833549
01/05/2010,4096812687,475331740,251360230,250485966,874264,223971510,N/E,3621480947,3498870111,3457788652,1803760400,194165291,1150192380,309670581,41081459,39202710,83408126,1890961563,996329053,894632510,5566391,503135,5063256,4118135,642535,3475600,219907379,180425345,39482034,31793477,12830576,18962901,746514492,228794755,93371195,4554132,112786198,1495450,11776328,54970039,43931270
01/06/2010,4043995235,454171303,251189134,249983800,1205334,202982169,N/E,3589823932,3457961395,3416757494,1811102534,197823675,1107619148,300212137,41203901,28752460,103110077,1949412882,1030085876,919327006,8777803,2026926,6750877,4266349,602639,3663710,224544019,181447859,43096160,36963489,11509297,25454192,691830080,123168582,70352794,5255688,120406941,1441508,3774298,58607268,44629505
