Título,"Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, A. Cartera vigente total","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, A. Cartera vigente total, A.1 Cartera directa vigente 2/","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, A. Cartera vigente total, A.1 Cartera directa vigente 2/, A.1.1 Consumo","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, A. Cartera vigente total, A.1 Cartera directa vigente 2/, A.1.2 Vivienda","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, A. Cartera vigente total, A.1 Cartera directa vigente 2/, A.1.3 Empresas y personas físicas con actividad empresarial 3/","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, A. Cartera vigente total, A.1 Cartera directa vigente 2/, A.1.4 Intermediarios financieros no bancarios privados","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, A. Cartera vigente total, A.2 Cartera vigente asociada a programas de reestructura 4/","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.1 Consumo","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.1 Consumo, B.1.1 Tarjeta de crédito","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.1 Consumo, B.1.2 Nómina","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.1 Consumo, B.1.3 Personales","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.1 Consumo, B.1.4 Bienes de consumo duradero","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.1 Consumo, B.1.4 Bienes de consumo duradero, B.1.4.1 Automotriz","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.1 Consumo, B.1.4 Bienes de consumo duradero, B.1.4.2 Adquisición de bienes muebles","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.1 Consumo, B.1.5 Otros","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.2 Vivienda","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.2 Vivienda, B.2.1 Interés social","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.2 Vivienda, B.2.2 Media y residencial","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.1 Agrop. silvícola y pesquero","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.2 Minería","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.3 Electricidad, agua y gas","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.4 Construcción","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.5 Industria manufacturera","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.5 Industria manufacturera, Industria alimentaria","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.5 Industria manufacturera, Industria química","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.5 Industria manufacturera, Fabricación de productos a base de minerales no metálicos","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.5 Industria manufacturera, Industrias metálicas básicas","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.5 Industria manufacturera, Fabricación de equipo de transporte","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.5 Industria manufacturera, Otras industrias de la manufactura","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.6 Comercio","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.7 Transportes, correos y almacenamiento","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.8 Información en medios masivos","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.9 Servicios inmobiliarios y de alquiler de bienes muebles","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.10 Servicios profesionales, científicos y técnicos","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.11 Servicios de alojamiento temporal y alimentos y bebidas","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.12 Otros servicios","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, B. Cartera vigente total por destino del crédito, B.3 Empresas y personas físicas con actividad empresarial, B.3.13 No sectorizado","Banca comercial, Cartera de crédito vigente total al sector privado 1/, Saldos nominales en millones de pesos, A. Cartera vigente total, A.1 Cartera directa vigente 2/, A.1.4 Intermediarios financieros no bancarios privados"
Periodo disponible,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Feb 2011 - Mar 2022,Feb 2011 - Mar 2022,Dic 1994 - Mar 2022,Feb 2011 - Mar 2022,Feb 2011 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Jul 2009 - Mar 2022,Dic 1994 - Mar 2022,Dic 1994 - Mar 2022
Periodicidad,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual
Cifra,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales
Unidad,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos
Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF235704,SF235705,SF235706,SF235707,SF235708,SF235709,SF235710,SF235711,SF235712,SF235713,SF266103,SF266104,SF235714,SF266105,SF266106,SF235715,SF235716,SF235717,SF235718,SF235719,SF320913,SF320914,SF320915,SF320916,SF320917,SF320918,SF320919,SF320920,SF320921,SF320922,SF320923,SF320924,SF320925,SF320926,SF320927,SF320928,SF320929,SF320930,SF235730,SF235709
01/01/2003,518368.4,435228.2,76592.4,47734.7,288983,21918.1,83140.2,518368.4,76633.4,43682.1,N/E,N/E,20129.9,N/E,N/E,12821.4,122950.2,20818.1,102132.1,296866.7,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,21918.1
01/02/2003,516470.1,433999.7,78099.6,48764.4,286333.8,20801.9,82470.4,516470.1,78140.6,43911.7,N/E,N/E,21514.3,N/E,N/E,12714.6,123445.6,21507.2,101938.4,294082.1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,20801.9
01/03/2003,515229,433874.6,80153.1,48297.1,283539.6,21884.7,81354.4,515229,80194.1,44446.5,N/E,N/E,22916.8,N/E,N/E,12830.8,122097.8,20682.7,101415,291052.4,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,21884.7
01/04/2003,514645.7,435709.3,82995.1,49453.2,282231.4,21029.6,78936.5,514645.7,83036,45949.1,N/E,N/E,23773.5,N/E,N/E,13313.4,121657.1,20468.9,101188.2,288923.1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,21029.6
01/05/2003,527862.9,449882.1,85164.5,49739.8,293052.1,21925.8,77980.8,527862.9,85205.5,46543.8,N/E,N/E,24932.4,N/E,N/E,13729.3,121290.5,20176.6,101113.9,299441.1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,21925.8
01/06/2003,522415.7,445831.3,88020.6,50240.3,285166.1,22404.3,76584.4,522415.7,88061.6,48092,N/E,N/E,25436.1,N/E,N/E,14533.5,120938.6,20405.4,100533.2,291011.1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,22404.3
01/07/2003,514514.8,442386.4,90644,50857.7,279676,21208.8,72128.3,514514.8,90718.8,49071.2,N/E,N/E,26003.9,N/E,N/E,15643.7,117502.2,20342.6,97159.7,285085,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,21208.8
01/08/2003,526685.2,455658.9,93795.4,51747.8,286775.5,23340.2,71026.3,526685.2,93869.9,51002.8,N/E,N/E,26756.9,N/E,N/E,16110.2,117461.4,20372.9,97088.5,292013.6,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,23340.2
01/09/2003,533624.2,460340.4,101084,52238,283268.6,23749.8,73283.8,533624.2,101152.2,52869,N/E,N/E,31378.3,N/E,N/E,16904.9,117530.2,20009.9,97520.3,291191.9,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,23749.8
